Customer_ID,Customer_Name,Gender,Age,City,Customer_Segment,Join_Date
CUST0001,Grace Ibrahim,Male,50,Lagos,Consumer,11/2/2022
CUST0002,Hauwa Usman,Male,25,Benin City,Consumer,7/17/2025
CUST0003,Samuel Adeyemi,Male,53,Benin City,Small Business,12/5/2023
CUST0004,Grace Johnson,Male,21,Abuja,Consumer,11/18/2023
CUST0005,Fatima Olawale,Female,38,Port Harcourt,Consumer,10/12/2022
CUST0006,Blessing Usman,Male,52,Kano,Consumer,12/17/2023
CUST0007,Samuel Adeyemi,Male,31,Kaduna,Consumer,2/2/2024
CUST0008,Daniel Eze,Male,41,Kaduna,Consumer,6/4/2025
CUST0009,Samuel Williams,Female,46,Ibadan,Corporate,8/5/2024
CUST0010,Ibrahim Adeyemi,Female,45,Benin City,Consumer,1/16/2023
CUST0011,David Eze,Male,42,Ibadan,Small Business,4/5/2023
CUST0012,Michael Mohammed,Female,47,Port Harcourt,Small Business,10/27/2024
CUST0013,David Adeleke,Male,33,Port Harcourt,Consumer,1/29/2022
CUST0014,Mary Abdullahi,Male,53,Ibadan,Consumer,6/25/2024
CUST0015,Michael Johnson,Female,54,Benin City,Consumer,11/22/2024
CUST0016,Ibrahim Adeleke,Male,55,Ibadan,Corporate,5/28/2024
CUST0017,Esther Abdullahi,Female,21,Kaduna,Consumer,3/20/2022
CUST0018,Blessing Usman,Female,41,Abuja,Corporate,8/4/2024
CUST0019,Chioma Johnson,Male,26,Kaduna,Consumer,4/4/2023
CUST0020,Michael Adeleke,Male,48,Ilorin,Corporate,7/24/2023
CUST0021,Chioma Williams,Female,37,Benin City,Consumer,12/24/2025
CUST0022,Michael Olawale,Male,25,Benin City,Consumer,1/8/2024
CUST0023,Daniel Bello,Male,51,Kano,Small Business,8/1/2025
CUST0024,Fatima Adeyemi,Male,25,Lagos,Corporate,5/31/2023
CUST0025,Fatima Olawale,Female,58,Ilorin,Consumer,1/27/2025
CUST0026,Mary Bello,Female,23,Port Harcourt,Small Business,2/1/2023
CUST0027,Grace Okafor,Male,43,Benin City,Consumer,2/8/2022
CUST0028,Daniel Bello,Female,57,Ibadan,Small Business,7/18/2025
CUST0029,Michael Okafor,Female,57,Ilorin,Corporate,6/5/2024
CUST0030,Yusuf Bello,Female,30,Kano,Consumer,3/7/2024
CUST0031,Yusuf Adeyemi,Female,30,Port Harcourt,Consumer,6/6/2022
CUST0032,David Ibrahim,Female,39,Lagos,Consumer,1/3/2025
CUST0033,Michael Adeleke,Male,37,Lagos,Consumer,6/2/2024
CUST0034,Grace Adeleke,Male,41,Kano,Corporate,2/27/2025
CUST0035,Hauwa Eze,Male,34,Kano,Consumer,8/31/2024
CUST0036,Chioma Williams,Female,29,Ibadan,Consumer,1/12/2025
CUST0037,John Abdullahi,Female,21,Benin City,Small Business,11/11/2024
CUST0038,Daniel Okafor,Male,33,Lagos,Small Business,4/28/2024
CUST0039,Samuel Ibrahim,Female,24,Port Harcourt,Consumer,11/6/2025
CUST0040,David Mohammed,Male,21,Ilorin,Consumer,1/18/2024
CUST0041,Ibrahim Johnson,Male,60,Port Harcourt,Consumer,9/15/2024
CUST0042,Daniel Mohammed,Male,52,Abuja,Consumer,1/21/2022
CUST0043,Hauwa Okafor,Female,54,Abuja,Small Business,10/30/2022
CUST0044,Yusuf Adeleke,Female,48,Kano,Consumer,5/18/2024
CUST0045,David Johnson,Male,51,Ibadan,Corporate,3/25/2022
CUST0046,John Ibrahim,Male,28,Abuja,Consumer,11/11/2025
CUST0047,John Eze,Male,59,Lagos,Corporate,7/4/2025
CUST0048,John Olawale,Male,46,Port Harcourt,Corporate,7/24/2023
CUST0049,Michael Bello,Female,54,Port Harcourt,Small Business,7/22/2024
CUST0050,John Eze,Female,23,Kano,Consumer,3/31/2025
CUST0051,Mary Okafor,Male,32,Benin City,Consumer,4/1/2025
CUST0052,Chioma Adeyemi,Male,21,Benin City,Consumer,10/5/2024
CUST0053,Samuel Johnson,Female,25,Ilorin,Small Business,3/3/2024
CUST0054,Esther Adeleke,Female,50,Kano,Small Business,3/2/2024
